INSTNM,SAT_AVG,UGDS,COSTT4_A,TUITIONFEE_OUT,TUITFTE,AVGFACSAL,PFTFAC,C150_4,PFTFTUG1_EF
University of Tulsa,1279,3394,46560,34835,19693,9672,0.7755,0.6882,0.827
Lewis & Clark College,1279,1985,53455,41928,23450,9221,0.5422,0.7451,0.795
Brigham Young University-Provo,1277,27765,17174,4850,5348,9649,0.7409,0.7797,0.8377
University of California-San Diego,1276,23792,29751,36149,13805,13126,0.8344,0.858,0.6578
SUNY College at Geneseo,1274,5463,21004,16880,5356,7177,0.7188,0.7794,0.7742
University of Florida,1272,32346,20456,28541,7411,10498,0.853,0.8654,0.7325
Trinity University,1270,2127,46274,34678,16474,9715,0.7911,0.8162,0.9287
University of Wisconsin-Madison,1268,29504,23718,26653,10866,10758,0.972,0.8284,0.7728
Hendrix College,1267,1428,50172,37816,12547,7233,0.6778,0.6959,0.9595
University of Minnesota-Twin Cities,1266,30271,24278,19805,11069,10892,0.8394,0.754,0.5249
Missouri University of Science and Technology,1263,6064,22102,24675,10252,9931,0.764,0.6257,0.7361
Earlham College,1262,1016,50930,41450,14943,7391,0.9434,0.71,0.8322
The University of Texas at Austin,1262,39323,25176,33842,10476,10900,0.9068,0.7944,0.7162
The University of Texas at Dallas,1262,13042,22381,26038,10335,12416,0.7285,0.6291,0.5315
Clemson University,1259,16801,27944,30488,14345,9907,0.6632,0.8253,0.7251
American University,1258,6829,55159,40649,30523,11074,0.5764,0.7989,0.8031
Babson College,1258,2106,58450,43520,33742,14952,0.722,0.9073,0.9157
Fordham University,1258,8193,56604,43902,25968,12679,1,0.8051,0.8117
Stony Brook University,1253,15724,20611,19935,7339,10346,0.5938,0.6593,0.6088
Illinois Institute of Technology,1252,2855,48940,40117,19094,11256,0.5634,0.625,0.5743
Sewanee-The University of the South,1248,1599,46530,35756,21020,8389,0.9363,0.7805,0.9385
University of Georgia,1247,26120,21162,28472,10079,9015,0.8804,0.8314,0.7848
Skidmore College,1247,2646,58562,45874,30105,9067,0.8271,0.8592,0.9218
Milwaukee School of Engineering,1244,2452,43747,34470,14966,8286,0.5469,0.5582,0.7202
Truman State University,1243,5482,19689,13240,5045,7038,0.8619,0.7168,0.7135
California Polytechnic State University-San Luis Obispo,1242,18664,23867,19884,7908,8675,0.6858,0.6972,0.8238
Trinity College,1240,2239,59865,47510,29677,10884,0.7414,0.8628,0.8678
Drake University,1240,3310,42477,30889,18444,9108,0.6646,0.727,0.8808
Emerson College,1240,3720,51158,35730,23651,9204,0.4357,0.8147,0.7959
Miami University-Hamilton,1240,3421,17107,14165,4564,6658,0.951,0.2801,0.5556
Miami University-Middletown,1240,1765,18054,14165,4161,6873,0.9365,0.2256,0.3835
Miami University-Oxford,1240,15378,30858,29590,15186,8478,0.9551,0.8084,0.9196
Rhode Island School of Design,1239,2005,59597,42932,33690,7949,0.2747,0.8732,0.8767
Saint Louis University,1237,7961,52413,36726,19299,10028,0.5867,0.6974,0.2461
Furman University,1237,2777,55434,43164,22453,8957,0.7515,0.8426,0.9275
Pepperdine University,1235,3516,58772,44902,25896,11650,0.5697,0.8043,0.8106
The College of New Jersey,1235,6446,28943,25135,11663,9518,0.4357,0.8443,0.8071
Bentley University,1234,4172,54806,41110,24563,12158,0.6265,0.8727,0.8123
University of Puget Sound,1233,2542,53785,41868,25089,9228,0.8448,0.7816,0.9166
Rochester Institute of Technology,1232,12587,45772,34424,19189,9621,0.6729,0.6388,0.6545
University of Denver,1231,5505,53614,40707,25538,8914,0.5039,0.7752,0.8583
