INSTNM,SAT_AVG,UGDS,COSTT4_A,TUITIONFEE_OUT,TUITFTE,AVGFACSAL,PFTFAC,C150_4,PFTFTUG1_EF
CUNY City College,1110,11820,14041,12599,4376,8257,0.4029,0.4201,0.453
SUNY College at Oswego,1110,7245,21222,16631,4850,6733,0.5811,0.5785,0.6392
Salem College,1110,950,39859,24566,7802,5969,0.4848,0.6387,0.6593
Saint Joseph's University,1110,5265,52779,39040,23462,7113,1,0.7851,0.8175
University of Mary Washington,1110,4303,21862,22590,7290,7702,0.6347,0.7371,0.7305
University of Wisconsin-Eau Claire,1110,10218,18066,16283,6891,6886,0.9681,0.6693,0.7313
Wentworth Institute of Technology,1109,3975,43850,29200,15666,8039,1,0.6251,0.7502
University of Minnesota-Duluth,1109,9239,22796,16480,8284,7487,0.7962,0.5883,0.6281
Nebraska Wesleyan University,1109,1892,36429,27242,12109,6285,0.4538,0.6849,0.7446
Drew University,1109,1453,56932,44068,17816,8538,0.6133,0.6881,0.8599
Salve Regina University,1109,1989,48219,34950,18737,7425,1,0.6403,0.8752
University of Utah,1109,23273,19048,23736,9592,7764,0.9448,0.6037,0.5015
Arizona State University-Tempe,1108,38480,21960,23654,11705,10405,0.8787,0.5947,0.6617
California Lutheran University,1108,2882,48630,35720,17980,9597,1,0.7005,0.6236
University of Oregon,1108,20473,22390,29788,14391,8828,0.7024,0.6653,0.6899
Arizona State University-West,1108,3243,20269,22497,11624,8293,0.8992,0.5519,0.2928
Arizona State University-Polytechnic,1108,3305,21256,22497,12126,8042,0.94,0.5505,0.4261
Arizona State University-Downtown Phoenix,1108,8555,22909,23654,11815,8746,0.8561,0.4732,0.463
Arizona State University-Skysong,1108,8227,19666,11209,11797,7134,0.8534,NA,0.3183
Webster University,1107,3398,37363,23760,15070,8068,1,0.5942,0.487
University of Arizona,1106,31399,23905,27383,12051,10320,0.7478,0.6139,0.7005
Hamline University,1106,2108,43433,35108,15625,6607,0.4591,0.6637,0.7353
Mississippi State University,1106,16399,20796,16960,6667,7852,0.8636,0.6105,0.6714
Alfred University,1106,1905,38830,25430,8747,6408,0.8249,0.6216,0.8465
Olivet Nazarene University,1105,3325,39125,29890,10798,6769,0.3516,0.5724,0.6858
Simpson College,1105,1687,40186,30999,11958,6312,1,0.6494,0.7535
McDaniel College,1105,1662,45866,36960,13869,7035,0.3392,0.7175,0.8612
William Carey University,1105,2166,23962,10800,11251,5888,0.5331,0.6196,0.2754
University of Missouri-Kansas City,1105,8309,23437,22203,10688,8305,0.6246,0.5131,0.4328
University of North Carolina School of the Arts,1105,792,19666,21416,11470,6953,0.733,0.5968,0.7925
Marietta College,1105,1390,42205,31940,16223,6565,1,0.5529,0.881
West Chester University of Pennsylvania,1105,13456,24997,18974,8550,8909,0.7345,0.6864,0.6132
Augustana College,1105,1615,36828,28630,13044,6488,0.6726,0.6643,0.7505
Christian Brothers University,1105,1156,34413,28210,12545,5988,0.9907,0.5668,0.7616
Carthage College,1105,2874,44910,34850,15633,7638,1,0.6501,0.8571
The Master's College and Seminary,1104,1112,40815,28800,12657,7063,0.2926,0.5362,0.5968
Ohio University-Main Campus,1104,23331,23605,19410,10625,8294,0.6772,0.6657,0.7162
Multnomah University,1104,438,33878,21850,11396,5433,0.2947,0.4714,0.4016
Quinnipiac University,1102,6486,53476,39330,27202,8649,1,0.7627,0.8778
Florida Southern College,1102,2379,38413,28580,15831,7152,1,0.5816,0.7815
SUNY at Albany,1102,12542,21249,18360,5818,9423,0.5564,0.6638,0.6207
Capital University,1102,2647,42600,31990,14903,8743,0.4559,0.5821,0.7619
Oregon State University,1102,22349,22974,23514,9398,8692,0.7417,0.6147,0.5435
Pacific University,1102,1729,47922,37024,23540,7478,0.6571,0.6156,0.6823
Virginia Commonwealth University,1102,22049,25291,29473,9693,8242,0.6627,0.5681,0.6197
Oregon State University-Cascades Campus,1102,765,NA,NA,4779,10291,0.75,NA,NA
Canisius College,1101,2858,42796,33332,15382,7530,0.4733,0.6749,0.7025
Spring Hill College,1100,1269,43325,30924,10653,6057,0.597,0.5632,0.8657
University of Mississippi,1100,16432,21526,17728,8585,8409,0.826,0.5797,0.7098
University of Mississippi Medical Center,1100,699,NA,NA,10277,5304,1,NA,NA
CUNY Brooklyn College,1100,12625,13903,12694,4480,7529,0.4509,0.51,0.2892
CUNY Queens College,1100,14424,13676,12717,4899,7624,0.4045,0.5635,0.308
University of North Texas,1100,31243,18593,17241,7327,9746,1,0.4993,0.4956
Hollins University,1099,568,46049,33320,11425,6552,0.6508,0.5971,0.7526
Azusa Pacific University,1098,6543,44021,32256,18430,9231,0.4597,0.6486,0.6463
Mississippi College,1098,2895,25976,14868,11945,7079,0.4916,0.5305,0.6364
University of New Hampshire-Main Campus,1098,12288,29520,29216,12480,11061,0.6173,0.7919,0.8185
Adelphi University,1098,5000,41559,30800,20803,11315,0.3203,0.6251,0.6185
Oklahoma Baptist University,1098,1882,31759,21842,9145,6090,0.6667,0.546,0.7972
Freed-Hardeman University,1098,1290,32814,20468,10867,6154,0.9612,0.5325,0.7172
SUNY Oneonta,1097,5759,20762,16680,4624,6242,0.5653,0.6978,0.6861
Wisconsin Lutheran College,1097,1058,34192,24770,11551,6106,0.9605,0.6354,0.734
Ramapo College of New Jersey,1096,5397,27781,22038,9261,9521,0.9319,0.7283,0.5487
Baldwin Wallace University,1096,3331,37504,27840,15293,7418,0.4129,0.7088,0.7412
Milligan College,1096,933,36252,27916,13827,5717,0.9767,0.5206,0.6624
Trine University,1095,1431,40679,28850,10936,7319,1,0.512,0.4733
Saint John Fisher College,1095,2948,39014,28430,16702,8342,1,0.7253,0.6448
Arcadia University,1095,2400,48907,36810,16331,7962,0.3214,0.605,0.8046
Trine University-Regional/Non-Traditional Campuses,1095,435,18080,9840,12872,8016,1,0,0.0303
Prescott College,1094,540,40206,29732,14975,4248,0.6932,0.3768,0.2837
Georgia Southern University,1094,17103,21513,16137,5662,6217,0.8801,0.5046,0.6664
MCPHS University,1094,3808,43966,28470,29378,8066,0.9894,0.7053,0.8078
Lee University,1094,4143,23554,13750,9563,5605,1,0.5313,0.6103
Randolph College,1094,651,44330,32850,11962,7193,0.9863,0.5225,0.8571
St John's University-New York,1093,11147,50233,37260,21499,11777,0.4538,0.557,0.3492
University of Illinois at Chicago,1092,16601,25248,25800,12091,9797,0.6538,0.5669,0.6419
Concordia University-Nebraska,1091,1185,33226,24750,9932,6086,0.8625,0.6364,0.4676
North Dakota State University-Main Campus,1091,11629,18277,18242,7681,8163,0.9872,0.5308,0.7461
Emmanuel College,1090,2040,49487,34670,16682,8155,0.447,0.5808,0.7507
Aquinas College,1090,1843,34593,26460,11154,5972,0.3922,0.5976,0.7847
Grand Valley State University,1090,21137,21512,15388,9810,7816,0.6634,0.695,0.6933
University of Missouri-St Louis,1090,8928,22474,24429,8003,8195,0.4885,0.4567,0.2008
Missouri State University-Springfield,1090,15746,19117,13388,6228,7135,0.6633,0.5337,0.4363
The University of Montana,1090,11630,17440,21719,6877,9948,0.6824,0.4708,0.538
Manhattan College,1090,3403,44895,35725,19807,9042,0.5058,0.7373,0.8279
University of North Dakota,1090,11182,20538,17794,9376,8361,0.9167,0.5529,0.5945
University of South Dakota,1090,6449,18843,10104,6878,7200,0.7684,0.5515,0.5571
Carroll University,1090,3024,37963,27724,14038,6653,0.4036,0.5629,0.7958
Viterbo University,1090,2052,32956,23330,11278,6099,0.4125,0.4681,0.5153
Wichita State University,1089,11198,14764,14960,5790,7568,0.9223,0.4637,0.4366
Louisiana Tech University,1089,7047,16983,18441,5871,7055,0.8468,0.4934,0.7821
Arkansas State University-Main Campus,1088,9325,18809,13120,3527,6957,0.743,0.3698,0.6257
Lewis University,1088,4489,34079,26780,15275,9021,0.3606,0.6246,0.4929
Loras College,1088,1521,37622,28852,12625,6173,0.7485,0.609,0.8398
University of California-Santa Cruz,1087,15695,33208,36275,11066,12110,0.7098,0.7267,0.7657
Regis University,1087,4930,43058,32424,18145,6685,0.3033,0.5807,0.3945
University of Hawaii at Manoa,1087,14097,18491,27472,9277,10360,0.7777,0.5651,0.472
Millikin University,1087,2122,39576,28644,12527,5844,0.6753,0.5979,0.7563
High Point University,1087,3996,42300,30715,22114,6894,1,0.6176,0.9303
Otterbein University,1087,2436,41646,31424,15523,7287,1,0.5886,0.8196
The Dickinson School of Law of the Pennsylvania State University,1087,NA,NA,NA,88300,12746,0.6389,NA,NA
Pennsylvania State University-Penn State Erie-Behrend College,1087,3797,27759,21302,7616,8612,0.8148,0.6995,0.8176
Pennsylvania State University-Penn State Great Valley,1087,NA,NA,NA,14281,11938,0.9737,NA,NA
Pennsylvania State University-College of Medicine,1087,NA,NA,NA,88466,NA,NA,NA,NA
Pennsylvania State University-Penn State Lehigh Valley,1087,788,19456,20278,6408,6504,0.5733,0.5481,0.5893
Pennsylvania State University-Penn State Berks,1087,2573,25931,21302,6362,7806,0.5792,0.5652,0.763
Pennsylvania State University-Penn State Harrisburg,1087,3461,26651,21302,8498,9042,0.6667,0.6086,0.6709
Pennsylvania State University-Main Campus,1087,39460,31625,29566,24891,9902,0.749,0.8484,0.902
Pennsylvania State University-Penn State Abington,1087,3231,19611,20284,5393,7591,0.4708,0.4803,0.7081
Pennsylvania State University-Penn State York,1087,943,19761,20278,7920,7670,0.52,0.4954,0.5832
Abilene Christian University,1087,3647,39811,28350,14418,5508,0.9204,0.5637,0.8451
Utah State University,1087,20775,16020,17550,4989,8206,0.9627,0.5109,0.6175
Pennsylvania State University-World Campus,1087,4881,25441,13202,6355,4339,0.2105,NA,0.0635
Baker University,1086,1759,37485,25580,11156,5758,0.1624,0.52,0.4376
University of Illinois at Springfield,1085,2959,21385,16498,6839,7464,0.6066,0.4308,0.3133
Georgetown College,1085,1034,42036,32310,12252,5999,0.7468,0.5656,0.7409
University of Maine,1085,8619,22461,27970,9599,8755,0.6372,0.5556,0.7232
The College of Saint Scholastica,1085,2858,40685,31612,13630,6904,0.4783,0.6838,0.4705
San Diego State University,1084,26625,20252,17926,6601,9229,0.5404,0.6616,0.5168
Nova Southeastern University,1084,5053,40783,25430,16935,9482,0.4052,0.4049,0.3893
Elmhurst College,1084,2819,41472,32920,14793,7596,0.4669,0.7402,0.5981
Cornerstone University,1084,2100,33912,24168,11308,5537,0.9857,0.4571,0.7008
Sweet Briar College,1084,599,46966,33605,18311,6894,0.8065,0.5693,0.6355
San Diego State University-Imperial Valley Campus,1084,693,NA,NA,7369,9774,0.5455,NA,NA
Indiana Wesleyan University,1083,10625,33770,23628,10115,6853,1,0.655,0.4335
Hastings College,1083,1060,35673,25520,9873,6292,1,0.5762,0.7841
The University of Findlay,1083,2663,38941,29798,14741,7043,0.7604,0.564,0.3863
University of Southern Mississippi,1082,12371,18781,15024,6081,7109,0.756,0.4513,0.5065
SUNY at Purchase College,1082,4017,22381,17023,6128,7092,0.3949,0.5971,0.5447
Howard University,1081,6855,40129,22683,17514,8566,0.7495,0.6065,0.8103
Massachusetts College of Art and Design,1081,1861,25384,28600,11458,9403,0.814,0.7382,0.5105
University of Nevada-Reno,1081,15310,21398,20520,7552,9233,0.9281,0.5139,0.6613
Brigham Young University-Hawaii,1081,2664,14544,4770,3449,8794,1,0.4703,0.6538
The Evergreen State College,1081,4017,21433,20661,7560,7679,0.7294,0.5687,0.3895
California Maritime Academy,1080,1044,22223,17696,8025,8259,0.6629,0.5871,0.6862
Le Moyne College,1080,2619,42068,30460,15271,8776,0.4602,0.7383,0.6776
Citadel Military College of South Carolina,1080,2660,24827,29639,10577,8115,0.7082,0.6885,0.7762
Northwest Nazarene University,1079,1251,34498,26550,10827,5691,0.9767,0.4909,0.6501
Newman University,1079,1276,33524,23650,8221,5684,1,0.5188,0.109
Anderson University,1079,2381,35340,22790,12282,6409,0.4195,0.4138,0.5615
Northwest University,1079,1354,34608,25934,14013,6395,0.2521,0.4294,0.3401
University of California-Riverside,1078,18612,29787,35838,11937,11324,0.824,0.6617,0.7592
Savannah College of Art and Design,1078,8750,49179,33450,24510,8024,0.7974,0.683,0.672
Towson University,1078,18534,21596,20020,6494,6670,0.53,0.655,0.5309
Dallas Baptist University,1078,3375,32489,22350,14692,7607,1,0.5518,0.6138
University of Arkansas at Little Rock,1077,8504,19894,16871,6265,7480,1,0.2438,0.2379
Western New England University,1077,2648,45850,33020,19352,9269,0.6088,0.5961,0.8678
The University of Texas at Arlington,1077,25415,21420,17374,7034,8272,0.6343,0.4041,0.4021
Doane College-Lincoln Grand Island and Master,1077,721,12916,9065,6734,5074,0.053,0,NA
University of Rhode Island,1076,13008,26262,28016,12828,9144,0.5907,0.6344,0.7859
The University of Tampa,1075,6476,37714,25772,16142,8424,1,0.6159,0.7528
Manhattanville College,1075,1671,49907,35370,16566,7862,0.3385,0.5832,0.8796
St Bonaventure University,1075,1787,41265,29589,14460,6445,0.6586,0.666,0.8141
Houston Baptist University,1075,2165,36095,27930,13381,6504,0.584,0.4388,0.7141
University of Colorado Denver,1073,10470,18822,22057,12112,9364,0.6723,0.4129,0.3792
Minneapolis College of Art and Design,1073,683,41935,32750,19293,6334,0.8333,0.5959,0.5157
University of New Orleans,1072,6854,16212,19068,7042,7448,0.7303,0.3214,0.4915
Converse College,1072,744,39748,29124,8005,6284,0.9186,0.6194,0.8524
Walla Walla University,1072,1646,34747,25377,17298,4638,0.9496,0.4593,0.7515
Mount Vernon Nazarene University,1071,1774,33321,23690,12936,6099,0.4122,0.6086,0.7432
Tennessee Technological University,1071,9827,19900,22063,4888,7551,1,0.5064,0.7485
University of Montevallo,1070,2610,20209,19690,7161,7035,0.5951,0.4493,0.7331
University of Central Arkansas,1070,9261,17899,13340,4425,6434,0.7542,0.4203,0.6846
California State Polytechnic University-Pomona,1070,20857,19402,17510,4577,9101,0.4882,0.5237,0.5427
University of Idaho,1070,8539,19700,19600,7622,7986,0.7886,0.5381,0.4949
The College of Idaho,1070,1086,34555,24055,10722,5969,0.6328,0.6652,0.8128
University of St Francis,1070,1757,36226,27970,15719,7543,1,0.5657,0.5152
University of Louisiana at Lafayette,1070,14261,15342,15742,5074,7568,0.813,0.4482,0.6731
Endicott College,1070,2621,44177,28926,14258,8415,0.2717,0.7129,0.8135
Andrews University,1070,1765,33653,25470,14877,4961,1,0.6036,0.5284
Oakland University,1070,16113,19198,23873,9411,8482,0.5282,0.4295,0.507
Winona State University,1070,8079,20449,14230,5482,7570,0.6348,0.5646,0.6954
Fontbonne University,1070,1242,30833,22684,15202,6008,0.2768,0.4093,0.3985
Bryan College of Health Sciences,1070,593,26429,12711,14365,5510,0.5072,0.5556,0.2209
Nebraska Methodist College of Nursing & Allied Health,1070,740,23987,13302,13052,5994,0.8226,0.68,0.185
University of Nebraska at Omaha,1070,12153,16860,16890,6147,7860,0.4981,0.4211,0.5518
College of Saint Mary,1070,691,36592,26934,14802,5984,1,0.4194,0.3589
George Fox University,1070,2358,41836,31120,15258,6742,0.4485,0.623,0.6932
Geneva College,1070,1532,34818,25220,12654,6808,1,0.6695,0.8456
Bob Jones University,1070,2755,25781,13460,10434,3834,0.7529,0.6127,0.7545
Bellin College,1070,285,NA,20405,25880,6904,0.8824,0.6786,0.8039
University of Wisconsin-Green Bay,1070,5765,16878,15249,4942,6407,0.9939,0.464,0.3904
University of Wisconsin-Stevens Point,1070,9150,16427,15150,5745,6317,0.9746,0.5804,0.6486
Ave Maria University,1070,904,34729,23000,8918,7598,0.9825,0.5912,0.8038
Spring Arbor University,1069,2860,32709,23400,10534,4953,0.2291,0.5673,0.3938
SUNY College at Brockport,1069,7040,19511,16672,4792,7181,0.5687,0.6676,0.5246
DeSales University,1069,2482,45331,31250,15389,6520,0.3438,0.7033,0.8429
The University of Tennessee-Chattanooga,1069,10184,19192,22760,4864,7477,0.6318,0.3714,0.7218
University of Mary Hardin-Baylor,1069,3006,35000,25200,17201,7197,1,0.4719,0.6601
John Paul the Great Catholic University,1069,140,40896,24900,14416,6738,0.5238,0.5152,0.7581
University of Colorado Colorado Springs,1068,8888,16707,18437,9413,7285,0.5355,0.4598,0.5072
Kennesaw State University,1068,22211,20630,15898,5776,6252,0.5638,0.4338,0.5085
Saint Mary's University of Minnesota,1068,1897,38470,29315,10078,6585,0.1923,0.5516,0.5706
The Richard Stockton College of New Jersey,1068,7491,26086,18715,6960,9242,0.4911,0.6549,0.5007
Corban University,1067,902,38834,27431,14565,5463,0.9524,0.5459,0.7929
Regent University,1067,2286,26825,15838,13845,7404,0.9425,0.5116,0.3328
University of North Carolina at Charlotte,1066,21400,17767,18636,7019,8337,0.7211,0.539,0.5321
Southern Utah University,1066,5620,18042,17902,5380,6526,0.7485,0.526,0.7124
School of the Art Institute of Chicago,1065,2641,55551,40585,28093,9208,0.2219,0.5404,0.6375
Lesley University,1065,1785,47788,32375,18063,7838,0.822,0.4602,0.5681
Norwich University,1065,2432,47341,33371,13149,7147,0.5088,0.5672,0.8119
University of South Alabama,1064,11048,17125,13596,6914,7212,0.6418,0.3342,0.637
Mercyhurst University,1064,2679,42367,30300,12726,5387,0.6293,0.6047,0.8922
University of Sioux Falls,1064,1075,33909,24550,10899,6075,1,0.4747,0.6962
Carson-Newman University,1064,1688,32446,23696,11866,5577,0.5947,0.4954,0.8054
The University of Texas at Tyler,1064,5338,19366,17842,4739,7291,0.7743,0.4412,0.3938
Monmouth University,1063,4557,42307,31018,20140,8286,0.4841,0.6081,0.7366
The University of West Florida,1062,9906,18158,19238,5712,7392,1,0.4232,0.4712
Southwest Baptist University,1062,2515,28948,20040,8741,5605,1,0.5185,0.5585
Philadelphia University,1062,2791,46451,33690,19202,7818,1,0.5827,0.6593
San Francisco Art Institute,1061,468,55809,38406,26288,8172,1,0.2881,0.4286
Palm Beach Atlantic University,1061,2501,37535,25532,15678,7362,1,0.4667,0.4781
University of Massachusetts-Dartmouth,1061,7202,23763,24156,9535,10405,0.6135,0.4903,0.664
Maranatha Baptist University,1061,780,23879,13120,11590,3814,0.6429,0.4843,0.5852
Georgia State University,1060,24128,23124,22936,7284,7149,0.9722,0.5315,0.4933
Mount St Mary's University,1060,1729,45896,34644,15815,7121,1,0.6563,0.8363
Elmira College,1060,1315,50608,38150,15061,4676,0.5251,0.6265,0.8281
Wilkes University,1060,2281,42612,30350,14551,8186,0.4494,0.579,0.6986
West Virginia University,1060,22130,16898,19632,11359,9237,0.7679,0.5744,0.7416
University of Mobile,1058,1472,30108,18690,10339,5024,1,0.4904,0.6565
SUNY College at Cortland,1058,6394,21840,16777,5412,6517,0.4812,0.6951,0.6468
Queens University of Charlotte,1058,1703,40930,29800,14098,4064,0.5504,0.5207,0.6313
Dakota Wesleyan University,1058,754,31596,22700,10120,5452,0.4286,0.4221,0.5581
Dominican University of California,1057,1567,56165,40600,21979,8770,0.2969,0.5387,0.6456
University of New England,1057,2179,47931,33145,19167,7900,0.5362,0.5966,0.5856
Misericordia University,1057,2362,38504,28210,15841,7112,1,0.6923,0.6331
Saint Martin's University,1057,1299,40458,30284,14109,6350,0.4074,0.4774,0.3616
SUNY at Fredonia,1056,5049,20802,16850,4932,6817,0.5169,0.6443,0.7003
SUNY Maritime College,1056,1565,21493,16559,6028,6536,0.6296,0.5014,0.7517
Columbia International University,1055,574,28141,18930,10047,4559,0.9,0.6522,0.5965
Huntington University,1054,1030,34764,24040,10779,5945,1,0.623,0.8094
Molloy College,1054,3322,36702,25710,20700,8716,0.248,0.6622,0.5434
Saint Joseph's College-New York,1054,4408,25290,21878,14615,8720,1,0.7158,0.4995
Lincoln Memorial University,1054,1632,31241,19490,13098,2660,0.7077,0.5304,0.2415
University of Hartford,1053,5026,47368,33358,15424,8178,0.4651,0.5871,0.8486
Anderson University,1053,1862,37937,26280,12680,6395,1,0.5678,0.675
Ball State University,1053,15985,21101,24124,7383,7305,0.8249,0.5938,0.7803
Augsburg College,1053,2661,42531,33209,16275,6868,0.9494,0.6326,0.5951
SUNY Institute of Technology at Utica-Rome,1053,1714,19843,16540,5228,8487,0.4167,0.4778,0.4148
Bryan College-Dayton,1053,1209,29489,21150,8672,4166,0.4621,0.6154,0.3425
Massachusetts Maritime Academy,1051,1362,22420,22033,8929,7967,0.6522,0.6667,0.8691
St Catherine University,1051,3479,43356,34744,16287,6737,0.5379,0.5396,0.3934
Northern Arizona University,1050,22011,22771,22093,6697,7863,0.6172,0.4924,0.5989
Boise State University,1050,16557,18227,18892,6355,6905,0.5643,0.3801,0.3855
Southern Illinois University-Edwardsville,1050,11179,21137,20610,8030,7859,0.7077,0.5041,0.5951
Grace College and Theological Seminary,1050,1286,32506,23970,8046,5839,1,0.6053,0.5307
Buena Vista University,1050,2125,39011,29448,11004,6736,0.1828,0.5265,0.3904
Morningside College,1050,1267,36280,25990,10189,6371,1,0.5799,0.8041
Saint Ambrose University,1050,2716,38189,26740,15956,6754,0.9875,0.613,0.6623
University of Louisiana at Monroe,1050,5863,14925,16890,5286,6958,0.9969,0.4017,0.4786
Lake Superior State University,1050,2299,19571,14880,6843,6061,0.9077,0.42,0.5543
Wayne State University,1050,17789,20199,23714,9162,9689,0.5301,0.3235,0.4728
Northwest Missouri State University,1050,5274,17005,11391,6076,6501,0.8442,0.5017,0.755
Union College,1050,759,30383,20470,16236,5335,0.9412,0.372,0.6246
East Carolina University,1050,20625,19851,20256,6563,7975,0.8428,0.5631,0.7505
University of Mount Union,1050,2056,37502,27380,13695,6839,1,0.6273,0.8558
Gannon University,1050,2697,37572,27546,14875,7326,0.5675,0.6508,0.5446
Marywood University,1050,2034,41657,30690,16335,7887,0.392,0.6511,0.6596
Mount Marty College,1050,676,33103,22892,9944,5217,0.4065,0.5185,0.2243
South Dakota State University,1050,10048,18547,9795,7250,7451,0.8158,0.5566,0.6525
Southern Adventist University,1050,2693,29085,19790,14698,5123,0.9944,0.5969,0.5694
The University of Tennessee-Martin,1050,6554,16227,21451,4784,6882,0.7554,0.4645,0.7494
St Mary's University,1050,2390,35160,25126,19894,9441,0.6287,0.5504,0.8243
The University of Texas at San Antonio,1050,23840,18936,16031,7114,9272,0.7178,0.3,0.6203
Edgewood College,1050,1914,35645,24666,16097,5576,0.5219,0.5662,0.5399
University of Wisconsin-Platteville,1050,7740,16824,15057,6776,6252,0.9921,0.5423,0.74
Trinity Law School,1049,NA,NA,NA,17598,8396,0.0889,NA,NA
Trinity International University-Florida,1049,257,NA,NA,14531,6467,1,NA,NA
Trinity International University-Illinois,1049,899,37929,26830,11132,7250,0.2317,0.4545,0.6642
Minnesota State University-Moorhead,1049,5912,18028,14714,5136,7781,0.6047,0.4624,0.5309
Southeast Missouri State University,1049,9382,17093,12195,7348,6747,1,0.4891,0.664
University of Nebraska at Kearney,1049,5247,19212,12370,4509,7013,0.7265,0.5322,0.6832
Trevecca Nazarene University,1049,1448,30820,22330,12553,6337,1,0.4664,0.7185
Concordia University-Wisconsin,1049,4322,36660,25160,12548,8016,1,0.5569,0.4652
Quincy University,1048,1166,36948,25834,9165,5436,0.4538,0.5043,0.6858
Clarke University,1048,995,38062,28000,15322,6109,0.5743,0.6952,0.5783
Xavier University of Louisiana,1048,2459,27550,20560,15391,8252,0.9011,0.4804,0.8362
Kent State University at Kent,1048,22071,23995,17776,9518,8299,0.8298,0.5152,0.7727
Bethel College-Indiana,1047,1579,33617,24970,13453,5506,0.98,0.6466,0.5041
Stephens College,1047,646,41309,27954,11884,5017,0.9808,0.5856,0.75
William Woods University,1047,1001,33016,20650,9847,5301,0.2143,0.565,0.6752
D'Youville College,1047,1855,32741,22850,16950,6071,0.5761,0.4112,0.4539
Southeastern Baptist Theological Seminary,1047,543,NA,7016,5740,6374,1,0.5556,0.383
Walsh University,1047,2280,34994,25840,12937,5876,0.4745,0.5519,0.6786
McKendree University,1046,2312,37004,26050,10561,6641,1,0.4832,0.5153
Assemblies of God Theological Seminary,1046,NA,NA,NA,8157,7444,1,NA,NA
Evangel University,1046,2071,30988,20040,10369,6433,0.5895,0.5291,0.7951
Roberts Wesleyan College,1046,1302,38826,27364,15256,6293,0.8739,0.6057,0.6612
University of Mary,1046,1865,22936,14730,13334,6158,0.4754,0.4858,0.5423
Malone University,1046,1571,35213,25678,11480,6277,0.4648,0.5866,0.6421
Judson University,1045,1020,37635,27530,12104,6071,0.4224,0.5,0.4749
Lindenwood University,1045,7928,30193,15150,11833,6787,1,0.4484,0.4861
Portland State University,1045,20085,19843,23088,8128,8286,0.5033,0.417,0.2053
York College Pennsylvania,1045,4847,27266,17010,13678,8887,0.3833,0.5777,0.7514
Texas State University,1045,31005,19721,17264,6728,7528,0.7345,0.5737,0.584
Whittier College,1043,1651,49920,40296,25047,8954,0.61,0.6677,0.8765
Pace University-New York,1043,7883,50625,38069,20091,11627,1,0.5146,0.673
Ashland University,1043,3118,40835,29836,11903,6922,0.458,0.5634,0.7384
Capitol College,1042,430,30826,22296,17039,4275,0.1923,0.4286,0.5155
Eastern University,1041,2458,39764,28090,12413,6289,0.3358,0.5466,0.5467
Robert Morris University,1041,4459,38274,25114,16370,9890,1,0.5587,0.7302
Texas Lutheran University,1041,1295,35480,25890,12423,6626,0.6119,0.5151,0.8522
Framingham State University,1040,4255,21402,14160,5825,7977,1,0.5055,0.6437
Meredith College,1040,1543,39296,30562,18352,6925,0.9686,0.6242,0.8283
Westminster College,1040,1313,42474,32445,12438,6470,1,0.7653,0.9773
William Jessup University,1039,1029,34811,24040,14067,7043,0.2564,0.5614,0.4384
Florida Atlantic University,1039,24685,19131,17234,5301,7962,0.6812,0.4105,0.4595
New York Institute of Technology,1039,4307,39014,30780,28199,11418,0.1962,0.4705,0.6279
King University,1039,2121,36533,24960,9244,4703,1,0.5165,0.2821
Rider University,1038,4041,48163,35270,20883,10318,0.4894,0.6576,0.6148
University of New Mexico-Main Campus,1038,20847,16822,20688,5090,8938,0.6987,0.4828,0.7244
Niagara University,1038,2841,38829,28200,13010,8135,1,0.6513,0.5193
University of Jamestown,1038,923,27712,18494,7800,6234,1,0.5227,0.7515
Oral Roberts University,1037,2884,35070,22508,11083,6551,0.6367,0.5336,0.637
Jacksonville State University,1036,7195,19202,13884,6192,6857,0.6516,0.3083,0.5482
Southwestern College,1036,1332,36472,23886,10933,5689,1,0.529,0.3413
Notre Dame of Maryland University,1036,1220,41871,32050,16526,7064,0.3776,0.5283,0.3549
University of La Verne,1035,5128,45305,35000,16881,8605,0.3026,0.5928,0.4568
Roosevelt University,1035,3596,43650,26500,19952,7992,0.3691,0.4144,0.3753
Columbus College of Art and Design,1035,1277,39478,30390,30173,6470,0.3125,0.5908,0.6573
Saint Vincent College,1035,1532,41591,30350,12554,7116,0.9643,0.6998,0.8906
Saint Vincent Seminary,1035,NA,NA,NA,14487,3855,NA,NA,NA
Concordia University-Texas,1035,1493,37394,25880,12791,6269,1,0.3438,0.4433
Hardin-Simmons University,1035,1690,32001,23460,11836,6653,0.7157,0.514,0.7084
University of New Haven,1034,4759,48280,33740,17898,9407,0.3984,0.5443,0.8049
Madonna University,1034,3080,22629,16340,11624,7554,0.9929,0.4294,0.2263
Western Carolina University,1034,8238,17805,15862,5283,7493,0.7182,0.5108,0.6198
Valdosta State University,1033,9634,20958,16814,5388,5998,0.9671,0.4017,0.6581
Greenville College,1033,1101,33675,23612,11504,5649,1,0.5049,0.703
Thomas More College,1033,1208,36843,27345,12622,6325,0.5068,0.5703,0.4862
Belhaven University,1033,2487,33375,19970,8025,4327,1,0.3983,0.2239
Calvary Bible College and Theological Seminary,1033,251,18781,10816,5486,3907,0.4603,0.5,0.3426
Albright College,1033,2333,46170,36660,14776,6340,0.4897,0.5371,0.8506
Southern Illinois University-Carbondale,1032,13220,24234,24716,9537,7208,0.8605,0.4337,0.5837
Midway College,1032,1247,33132,22150,11621,5459,0.331,0.5246,0.2782
