GEOID,long,lat,Tract,Boroughs,Total population,Percent Male,Over_16_year,Over_18_year,Over_60_year,Median_Household_Income,Percentage_college_degree,Unemployment_rate,Race_White,Race_Black,Race_NativeAmerican,Race_Asian,Race_Other,Schools,Recreational,Criminal_Justice,Health,Pharmacy,Mental_Heath,Disabilities,Daycare,Senior_homes,Homeless_shelters,Transport,Waste_Management,BURGLARY,FELONY_ASSAULT,GRAND_LARCENY,GRAND_LARCENY_ MOTOR_VEHICLE,MURDER,RAPE,ROBBERY,Total_Felony,FelonyBucket
36047023600,-73.989965,40.63232331,236,Kings,5470,51.023766,61.5,58.9,17.3,25466,30.7,7.6,98%,0%,0%,2%,0%,0,0,1,0,0,0,2,0,0,0,0,0,1,1,3,3,0,0,0,8,1
36047023800,-73.99200413,40.63059838,238,Kings,4167,52.38780898,67.9,64.9,21.9,29814,40.3,5,100%,0%,0%,0%,0%,1,0,0,0,0,0,1,2,0,0,0,0,3,2,4,3,0,0,1,13,2
36047024000,-73.99377207,40.62915547,240,Kings,4421,51.61728116,64,61.8,18.6,26327,18.5,10.6,94%,1%,0%,1%,4%,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,1,0,0,1,10,1
36047024100,-73.95350621,40.692711,241,Kings,2480,49.95967742,85.6,84.4,16.3,60250,40.5,7.7,49%,34%,0%,8%,9%,1,0,0,2,2,0,1,1,1,2,0,0,12,8,15,2,1,0,10,48,6
36047024200,-73.99322361,40.62593491,242,Kings,2936,50.03405995,68.5,65.2,19.3,39219,40.3,4.4,87%,1%,0%,11%,1%,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,2,2,18,1,32,5
36047024300,-73.95290931,40.68772425,243,Kings,4236,47.49763928,89.3,87,17.8,54801,42.9,7.1,25%,64%,0%,3%,8%,0,0,0,2,1,1,0,1,0,4,0,0,10,4,8,2,0,0,3,27,4
36047024400,-73.98624471,40.62187486,244,Kings,3523,47.20408743,68.2,64.3,16.9,40855,23.6,7.1,73%,0%,0%,16%,10%,3,0,0,1,0,0,0,4,0,0,0,0,1,1,5,0,0,0,2,9,1
36047024500,-73.95190283,40.68273478,245,Kings,3885,48.39124839,80.9,78.4,12.9,50093,56.3,20.2,13%,76%,1%,7%,4%,0,0,0,0,0,0,0,0,0,0,0,0,12,10,24,2,0,0,12,60,6
36047024600,-73.98125106,40.61836524,246,Kings,3552,51.29504505,74.5,70.6,13.3,44489,29.1,9.2,62%,1%,0%,33%,4%,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,2,0,0,0,17,3
36047024700,-73.95080841,40.67962886,247,Kings,1999,41.97098549,87,82.8,12.9,43333,38.5,12,20%,70%,0%,5%,5%,0,0,1,0,0,1,0,0,0,0,0,0,12,10,17,2,0,0,9,50,6
36047024800,-73.99028733,40.62137287,248,Kings,2880,43.88888889,74.8,73.5,16.6,47935,48.3,5.8,58%,1%,0%,30%,10%,0,0,0,1,0,0,0,1,1,1,0,0,7,1,6,0,0,0,3,17,3
36047024900,-73.94831855,40.68278665,249,Kings,3853,57.64339476,89.2,86.8,15.4,51782,59.4,10.8,16%,78%,0%,4%,1%,1,0,0,0,0,0,0,1,0,0,0,0,16,12,31,2,0,0,20,81,7
36047025000,-73.99582565,40.62377142,250,Kings,1575,46.92063492,82.4,81.5,24.6,39848,36.6,7,27%,2%,1%,65%,4%,1,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,1,11,2
36047025100,-73.94964606,40.6881,251,Kings,3256,48.58722359,81.9,78.7,19.1,30603,40.6,24.1,9%,80%,4%,3%,5%,1,1,0,3,0,1,2,1,0,0,0,0,12,20,13,0,0,0,10,55,6
36047025200,-73.99271212,40.619683,252,Kings,5307,47.55982664,80.7,78.3,16.7,48161,33.3,9.6,60%,1%,0%,36%,3%,0,1,0,0,0,0,0,0,0,0,0,0,3,1,11,1,0,0,8,24,4
36047025300,-73.95051785,40.69269115,253,Kings,2346,52.42966752,87.6,87.6,14.3,43098,36.4,14.5,29%,54%,0%,6%,11%,1,0,0,0,0,0,1,0,0,2,0,0,16,3,12,5,0,0,4,40,5
36047025400,-73.98421707,40.61681487,254,Kings,4076,51.10402355,83.8,81.2,24.9,48688,24.9,14.6,34%,0%,0%,60%,6%,1,0,0,0,0,0,0,0,0,0,0,0,2,1,6,4,0,0,2,15,2
36047025500,-73.95098733,40.69780267,255,Kings,5302,43.17238778,73,68.7,14.1,22560,38.7,18.7,19%,47%,0%,1%,33%,4,0,0,0,0,2,2,8,1,1,0,0,1,16,7,3,1,0,7,35,5
36047025600,-73.98522825,40.61485375,256,Kings,3243,50.44711687,82.4,78.5,22.3,44940,38,4.5,38%,0%,0%,60%,2%,0,0,0,1,0,0,0,2,0,0,0,0,2,2,5,1,0,0,6,16,3
36047025700,-73.94709987,40.6985397,257,Kings,1997,58.33750626,86.7,83.9,10.3,57721,54.5,16.5,24%,40%,3%,3%,31%,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,7,0,0,8,38,5
36047025800,-73.9871664,40.61318047,258,Kings,4445,50.25871766,83,80.9,22.6,45484,30.8,9.4,53%,0%,0%,37%,10%,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,2,0,0,1,17,3
36047025901,-73.94655433,40.69501222,259.01,Kings,1574,46.63278272,80.1,78.1,5.7,33571,38.4,16,37%,47%,0%,5%,11%,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,2,0,0,3,24,4
36047025902,-73.94568988,40.697188,259.02,Kings,3591,38.37371206,70.1,63.4,11.6,18715,16.6,45.7,19%,64%,1%,0%,16%,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,0,0,0,4,21,4
36047026000,-73.99237475,40.61710844,260,Kings,3610,46.39889197,86.8,83.4,21.4,44266,60.4,11.9,36%,1%,0%,58%,5%,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,1,9,1
36047026100,-73.94589729,40.69246094,261,Kings,5062,40.83366258,79.3,75.4,10.5,34167,63.3,7.2,25%,68%,0%,1%,6%,0,0,0,0,0,0,4,0,0,0,0,0,15,18,12,2,0,0,8,55,6
36047026200,-73.99710109,40.6190733,262,Kings,2627,49.48610582,84.1,81.3,20.8,56563,19.4,12.1,52%,1%,4%,39%,4%,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,0,1,10,1
36047026300,-73.94540845,40.689539,263,Kings,2096,43.89312977,78.1,74.8,21.5,39286,38.7,7.5,9%,80%,0%,1%,10%,0,0,0,3,0,0,1,0,0,1,0,0,2,10,8,4,0,19,2,45,6
36047026400,-73.99813083,40.61434952,264,Kings,4685,51.35538954,79.7,79,20.3,45696,61.9,6.4,40%,0%,1%,49%,10%,0,1,0,0,0,0,0,1,0,0,0,0,2,3,2,1,0,0,3,11,2
36047026500,-73.94486115,40.68699185,265,Kings,3764,44.65993624,79.8,77.5,11.6,38558,40.6,11.3,12%,78%,0%,3%,7%,1,0,1,1,0,2,1,0,0,0,0,0,5,6,18,2,0,0,9,40,5
36047026600,-73.99022382,40.61244224,266,Kings,3638,43.7053326,83.2,79.6,18.8,60214,65.5,12.4,63%,0%,2%,31%,3%,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,3,12,2
36047026700,-73.94404957,40.68403207,267,Kings,3397,50.54459817,85.8,85.4,17.4,46000,37.8,10.2,16%,75%,0%,2%,7%,0,0,0,0,0,0,0,0,0,0,0,0,8,7,12,5,0,0,5,37,5
36047026800,-73.99046894,40.61035244,268,Kings,3868,50.49120993,77.8,74.3,15.7,42340,55.9,14,59%,0%,0%,22%,18%,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0,0,4,12,2
36047026900,-73.94338957,40.681154,269,Kings,2832,38.87711864,80.6,78.6,16.8,54653,55.6,9.7,15%,82%,0%,0%,2%,1,0,0,0,0,1,4,1,1,0,1,0,8,12,18,2,0,0,7,47,6
36047027000,-73.99013923,40.60600862,270,Kings,2338,41.61676647,86.4,82.6,28.3,33663,27.4,8.9,69%,1%,0%,23%,8%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,8,1
36047027100,-73.93615924,40.67860442,271,Kings,2663,45.13706346,80,77.2,13.4,36667,35.4,11.8,7%,81%,1%,9%,2%,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16,6,0,0,13,51,6
36047027200,-73.99273683,40.60818206,272,Kings,3654,51.80623974,72.2,68.3,15.7,49700,29.2,9.5,56%,0%,1%,29%,14%,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,6,1
36047027300,-73.93712575,40.68086931,273,Kings,2582,48.95429899,83.3,78.3,19.5,34545,26,9.9,7%,88%,0%,1%,5%,3,0,0,1,0,1,0,1,0,0,0,0,8,12,14,2,1,0,9,46,6
36047027400,-73.99537247,40.61123311,274,Kings,2786,50.35893754,83,79.1,28.2,40383,60.2,6.4,51%,0%,0%,49%,0%,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0,0,0,10,1
36047027500,-73.93861871,40.68396107,275,Kings,4331,47.26391134,76.4,74.9,10.3,57357,33,17.6,13%,72%,0%,7%,9%,0,0,0,0,0,0,0,0,0,0,0,0,18,9,15,1,0,0,9,52,6
36047027600,-73.9998676,40.61067935,276,Kings,4616,53.01126516,79.5,75.3,12.7,45587,43.8,10.5,31%,0%,0%,42%,27%,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,7,1
36047027700,-73.93901131,40.686915,277,Kings,4584,49.12739965,68.5,64.4,9.3,31250,36.1,25.9,4%,94%,0%,0%,3%,0,0,1,0,0,0,3,1,0,0,0,0,7,14,16,0,0,0,15,52,6
36047027800,-74.00149614,40.60694048,278,Kings,3140,45.47770701,80.7,79.1,18.2,44333,46.3,17.4,46%,1%,0%,46%,8%,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,9,1
36047027900,-73.93959531,40.68984531,279,Kings,3934,48.72902898,86.9,84.3,17.7,59410,45.4,11.6,6%,87%,0%,2%,5%,0,0,0,1,0,0,2,1,0,0,0,0,12,17,10,1,2,0,8,50,6
36047028000,-74.0069697,40.60119075,280,Kings,1672,47.66746411,84.7,84.1,16.8,64453,30,17.7,58%,0%,0%,36%,6%,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,7,1
36047028100,-73.94036814,40.69275164,281,Kings,5087,46.37310792,71.2,68.2,9.1,26081,34.9,20.4,28%,53%,0%,1%,17%,2,0,0,2,0,0,0,1,0,0,0,0,7,15,13,6,0,0,13,54,6
36047028200,-74.00508925,40.599756,282,Kings,3114,44.86191394,82.9,81,21.6,41480,51.4,9,51%,0%,0%,48%,0%,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,0,4,2,17,3
36047028300,-73.94033908,40.69544085,283,Kings,3654,49.91789819,81.1,78.4,11.7,25652,39.1,24.9,18%,56%,0%,2%,24%,2,0,0,2,0,0,0,0,0,0,0,0,5,13,18,1,0,0,11,48,6
36047028400,-73.99905117,40.60556372,284,Kings,3694,52.27395777,83.4,81.3,25.5,44263,44.7,12.1,61%,1%,0%,28%,10%,2,0,0,6,5,9,5,3,0,0,15,2,1,6,7,4,0,0,4,22,4
36047028501,-73.942208,40.69964743,285.01,Kings,423,55.31914894,74.9,74.9,8.5,97083,18.1,7.9,46%,3%,0%,0%,51%,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,0,0,0,2,15,2
36047028502,-73.94024627,40.69760255,285.02,Kings,2552,38.32288401,81.7,77.6,32.7,20000,33,26,14%,70%,0%,0%,16%,0,0,0,0,0,0,0,0,0,0,0,0,2,13,2,0,0,0,2,19,3
36047028600,-74.00288021,40.59866121,286,Kings,4760,51.72268908,85.1,84.4,27.1,49003,34,4.8,54%,4%,2%,25%,15%,2,0,0,3,0,0,0,0,0,0,0,0,3,12,9,7,0,0,1,32,5
36047028700,-73.9355693,40.69625219,287,Kings,3011,41.51444703,78.8,76.7,16.8,22232,76.2,15,22%,62%,0%,6%,11%,1,0,2,0,0,0,1,1,0,0,0,0,8,9,10,8,0,0,15,50,6
36047028800,-73.99668665,40.604493,288,Kings,3041,50.77277211,84.4,81.5,21,40428,67.9,6,52%,0%,0%,38%,10%,1,0,0,1,0,0,1,1,0,0,0,0,0,3,14,0,0,0,4,21,4
36047028900,-73.93206,40.6932969,289,Kings,3344,44.67703349,79.4,76.8,16.2,25840,39.8,27.6,26%,60%,0%,1%,13%,3,1,0,3,0,0,0,2,0,0,0,0,7,15,26,1,0,0,14,63,7
36047029000,-73.99447459,40.60315735,290,Kings,4215,45.05338078,82.7,79.9,22.8,49435,66.7,11.9,68%,0%,2%,20%,10%,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,2,0,0,6,22,4
36047029100,-73.93378831,40.69051331,291,Kings,3252,42.65067651,81.2,76.3,12.2,40093,29.1,24,12%,82%,1%,1%,5%,0,0,0,0,0,0,0,0,0,0,0,0,17,4,14,3,0,0,12,50,6
36047029200,-74.00104639,40.59718522,292,Kings,2308,47.74696707,83,81.3,21.6,36644,42.7,10.9,53%,1%,0%,32%,13%,0,0,0,0,0,0,0,0,0,0,0,0,4,5,22,1,0,0,0,32,5
36047029300,-73.93320554,40.68758338,293,Kings,3219,40.41627835,82.9,79.1,25.8,30181,36.3,19.5,5%,78%,0%,0%,17%,0,0,0,0,0,0,0,0,0,0,0,0,6,10,8,0,0,0,5,29,4
36047029400,-73.99866841,40.59494332,294,Kings,2399,43.85160484,92,91.7,34.1,50724,11.6,10,66%,7%,0%,20%,7%,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,9,1
36047029500,-73.93240193,40.684697,295,Kings,3947,43.34937928,82.4,81.2,13.6,57181,68.6,6.6,15%,75%,0%,2%,8%,0,0,0,0,0,0,2,0,0,0,0,0,11,5,10,3,0,0,8,37,5
36047029600,-73.99294911,40.60111821,296,Kings,5144,44.79004666,83.2,82,27.8,37105,51.8,12.1,68%,2%,0%,26%,4%,3,0,2,7,2,5,8,0,0,0,1,0,1,2,11,4,0,0,6,24,4
36047029700,-73.93124517,40.680876,297,Kings,3895,46.54685494,79.8,77.7,12,51410,21.2,18.6,7%,82%,0%,4%,7%,1,0,0,1,0,0,1,3,0,1,0,0,16,22,24,3,0,0,22,87,7
36047029800,-73.98772413,40.60065153,298,Kings,3834,45.43557642,76.3,73.7,23.3,51363,46.4,4.6,69%,0%,0%,21%,10%,0,0,0,0,0,0,0,0,0,0,0,0,13,4,7,2,0,0,5,31,5
36047029900,-73.92715992,40.67803269,299,Kings,2610,41.6091954,73.8,70.9,14.7,24410,27.8,17.1,4%,79%,0%,4%,13%,0,0,0,0,0,0,0,0,0,0,0,0,8,14,9,4,0,0,5,40,5
36047030000,-73.98858604,40.59728481,300,Kings,3280,45.0304878,79,76.9,18.1,47552,37.6,5,49%,0%,0%,46%,5%,1,0,0,1,0,0,4,2,0,0,0,0,1,5,7,3,0,0,0,16,3
36047030100,-73.91653578,40.67741722,301,Kings,2784,44.32471264,82.4,81.1,18.1,48688,32.2,11.8,2%,86%,0%,9%,3%,0,0,0,1,0,0,1,2,0,0,0,1,9,17,9,4,0,0,11,50,6
36047030200,-73.99086896,40.59578891,302,Kings,4445,54.06074241,82.6,80.4,18.9,53892,47.3,14.4,31%,1%,0%,65%,4%,2,0,0,0,0,0,4,1,0,0,0,0,3,1,7,1,0,0,1,13,2
36047030300,-73.91827823,40.67553505,303,Kings,5189,37.25187897,65.8,62.5,15.1,24643,36.9,9.1,1%,89%,0%,1%,9%,0,0,0,0,0,0,0,0,0,0,0,0,7,19,5,6,2,0,8,47,6
36047030400,-73.99659172,40.5915415,304,Kings,3984,48.61947791,85.1,82.2,25.8,41588,51.4,10.7,54%,1%,0%,41%,4%,0,0,0,0,0,0,0,0,0,0,0,0,8,2,12,3,0,0,3,28,4
36047030500,-73.9588431,40.67735,305,Kings,5809,47.4780513,87.1,86.5,13.9,55050,25.2,9.1,38%,41%,0%,8%,13%,0,0,0,0,0,0,0,0,0,0,0,0,17,20,21,7,0,0,9,74,7
36047030600,-73.98569691,40.59088361,306,Kings,2019,47.64735017,80,76.8,24.3,39936,33.6,10.2,51%,0%,0%,42%,7%,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,3,0,0,2,16,3
36047030700,-73.92606176,40.67574705,307,Kings,4288,38.57276119,70.6,67.4,14.5,25606,34.9,17.2,2%,79%,0%,1%,18%,0,0,0,0,0,0,0,0,0,0,0,0,14,22,15,4,0,11,21,87,7
36047030800,-73.98031053,40.58783081,308,Kings,2146,48.22926375,84.4,82.1,21,57500,58.3,5.9,79%,0%,0%,17%,4%,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,5,0,0,7,28,4
36047030900,-73.93322477,40.67599923,309,Kings,2201,53.43025897,70.1,68.6,13.9,29909,51.2,11,3%,92%,0%,0%,4%,2,2,0,2,0,0,0,1,0,1,0,0,2,11,12,7,0,0,8,40,5
36047031100,-73.93917259,40.67651471,311,Kings,2829,46.27076706,74.6,69.5,17.2,40938,20.3,11.2,9%,88%,0%,1%,2%,0,0,0,0,0,0,0,0,0,0,0,0,9,16,10,2,0,0,10,47,6
36047031300,-73.94455371,40.67662524,313,Kings,4303,43.31861492,86.5,86.5,23.8,35660,73.5,6.4,7%,87%,0%,1%,5%,0,0,0,0,0,0,0,0,0,0,0,0,12,11,13,6,1,0,4,47,6
36047031400,-73.99190708,40.58613484,314,Kings,4201,41.39490597,88,87.2,35.8,42022,58.2,8.9,77%,2%,0%,20%,1%,1,0,1,1,0,0,0,0,0,0,0,0,1,2,19,4,0,0,3,29,4
36047031500,-73.95007653,40.67710073,315,Kings,4874,49.93844891,88.5,87.5,13.8,49353,30,18.8,19%,71%,0%,1%,9%,0,0,0,0,0,0,0,0,0,0,0,0,12,18,21,8,0,0,15,74,7
36047031701,-73.95038009,40.67384009,317.01,Kings,3128,41.91176471,87.2,87.2,17.3,40833,45.9,11,18%,73%,0%,4%,4%,0,0,0,0,0,0,0,0,0,0,0,0,11,5,9,6,0,0,7,38,5
36047031702,-73.95038183,40.67112458,317.02,Kings,4114,43.72873116,84.4,81.2,13.7,46406,30.3,12,19%,68%,0%,3%,10%,0,0,0,0,0,0,0,0,0,0,0,0,3,9,19,2,0,0,8,41,6
36047031900,-73.94940642,40.66646468,319,Kings,3652,47.75465498,81.8,79.3,16.9,42292,39.1,24.4,16%,84%,0%,0%,0%,1,0,0,0,0,0,0,0,0,0,0,0,5,11,5,0,0,0,10,31,5
36047032100,-73.95226706,40.66669265,321,Kings,5898,47.28721601,78.3,76.1,17.6,36798,33.6,14.3,18%,75%,0%,2%,4%,0,0,0,0,0,0,0,0,0,0,0,0,18,11,26,3,0,0,14,72,7
36047032300,-73.95522289,40.6666225,323,Kings,3743,41.89153086,81.4,79.8,13.1,47972,46.2,19.4,12%,76%,0%,3%,10%,2,0,0,0,0,0,4,2,1,0,0,0,7,9,9,3,0,0,12,40,5
36047032500,-73.95781382,40.66715329,325,Kings,6640,43.46385542,82.3,80.1,14.6,39807,42,21.8,10%,87%,1%,1%,1%,0,0,0,0,0,0,0,0,0,0,0,0,5,15,7,3,1,0,8,39,5
36047032600,-73.98829313,40.57635325,326,Kings,7140,46.83473389,77.6,72.6,13.6,22493,35.7,24.1,27%,36%,0%,19%,17%,1,0,0,2,0,0,1,0,0,0,0,0,15,43,23,5,0,0,26,112,7
36047032700,-73.96028138,40.66253929,327,Kings,2585,45.45454545,88.4,84.5,24.3,51419,34.8,13.9,16%,73%,2%,0%,7%,0,0,0,0,0,0,0,0,0,0,0,0,3,8,19,6,0,0,8,44,6
36047032800,-73.99852858,40.576287,328,Kings,2363,53.49132459,84.3,83.4,23.8,39805,31,20.3,14%,39%,2%,40%,4%,1,0,0,0,0,0,2,1,0,1,0,0,5,7,9,0,0,0,10,31,5
36047032900,-73.94807412,40.66335529,329,Kings,5494,42.06406989,82.1,79.5,18.1,51014,50.8,17,27%,62%,0%,0%,11%,0,0,0,0,0,0,0,0,0,0,0,0,4,10,16,4,1,0,11,46,6
36047033000,-73.99977707,40.5792309,330,Kings,4331,43.61579312,78.9,73.5,22,20705,40.4,24.5,33%,48%,2%,4%,13%,4,0,0,0,0,2,1,0,1,0,0,1,7,18,13,0,1,0,17,56,6
36047033100,-73.94321335,40.66411065,331,Kings,4350,51.79310345,75.2,72.1,14.4,37500,42.1,11.2,63%,33%,0%,0%,4%,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11,2,1,12,4,46,6
36047033300,-73.94331729,40.66590457,333,Kings,4482,55.77867024,65.8,63.3,14,45288,55.4,11,66%,28%,0%,0%,5%,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0,5,18,3
36047033500,-73.94278931,40.66762208,335,Kings,3012,51.062417,72,67.1,15.2,57260,61.7,8,63%,28%,0%,5%,5%,4,0,1,1,0,2,0,1,0,0,0,0,5,2,10,2,0,0,4,23,4
36047033600,-74.00525625,40.57734822,336,Kings,4287,50.92139025,76.8,74.7,23.9,56818,31.3,11.8,81%,7%,0%,6%,6%,0,0,0,0,0,0,1,3,1,0,0,0,0,6,6,2,1,0,1,16,3
36047033700,-73.94297893,40.66950964,337,Kings,3832,54.01878914,71.6,69.8,17.7,41830,60.1,10,45%,52%,0%,0%,2%,2,1,0,1,1,3,2,2,0,0,0,0,13,14,18,3,0,0,9,57,6
36047033900,-73.94218473,40.67133207,339,Kings,4365,46.57502864,81.9,80.6,24,42895,46.3,8.5,17%,75%,0%,2%,6%,0,0,0,0,0,0,0,0,0,0,0,0,7,9,22,3,1,0,12,54,6
36047034000,-73.99752023,40.57249818,340,Kings,2321,43.90348988,91.2,87.3,45.6,19022,52.9,21.1,49%,33%,0%,3%,15%,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,5,1
36047034100,-73.94497817,40.67366167,341,Kings,2643,45.51645857,84.4,81.9,26.9,49583,57.1,5.1,10%,76%,0%,0%,14%,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7,1,0,0,2,23,4
36047034200,-73.99728942,40.57413996,342,Kings,5694,44.46786091,81.2,77.8,31.7,15167,23,22.3,38%,38%,0%,4%,20%,1,0,0,0,0,0,4,0,0,0,0,0,7,33,23,4,0,0,18,85,7
36047034300,-73.93934593,40.6734296,343,Kings,5026,42.91683247,75.5,73.4,20,25494,40.2,12.9,5%,69%,1%,4%,21%,0,0,0,2,0,0,1,0,0,0,0,0,11,6,8,1,1,0,12,39,5
36047034500,-73.93372617,40.673203,345,Kings,2579,38.15432338,79.4,74.6,15,31500,27,17.2,1%,91%,0%,1%,7%,0,0,0,0,0,0,2,2,0,1,0,0,5,14,18,3,2,0,5,47,6
36047034700,-73.92781315,40.67278777,347,Kings,3157,45.80297751,80.5,78.1,10.4,27524,31,13.5,2%,89%,0%,0%,9%,0,0,0,0,0,0,0,0,0,0,0,0,5,24,13,3,1,0,11,57,6
36047034800,-73.98347619,40.58072646,348,Kings,2080,49.80769231,81.7,81.2,13.2,36563,42.8,13.7,61%,5%,2%,16%,16%,1,0,0,0,1,0,4,0,1,1,0,0,5,18,38,5,0,0,14,80,7
36047034900,-73.92984111,40.66797867,349,Kings,5737,47.42896984,76.7,72.4,11.6,30817,53,12.5,5%,81%,0%,3%,10%,0,0,0,0,0,0,0,0,0,0,0,0,5,24,8,4,0,0,16,57,6
36047035000,-73.97846048,40.57771696,350,Kings,2812,40.43385491,93.3,92.2,40.5,30879,59.3,12.1,97%,0%,0%,2%,1%,0,0,0,0,0,0,0,1,0,0,0,0,3,15,48,0,0,0,6,72,7
36047035100,-73.93264088,40.66829812,351,Kings,4409,37.10591971,75.2,73.6,19.3,24500,44.9,17.5,18%,67%,0%,2%,14%,5,0,0,0,0,0,1,2,0,0,0,0,17,29,44,1,2,0,23,116,7
36047035200,-73.98277755,40.57395318,352,Kings,1013,42.44817374,96.6,96.6,75.2,11641,0,0,61%,27%,1%,1%,10%,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,3,12,2
36047035300,-73.93540812,40.66844906,353,Kings,4686,43.21382843,81.7,79.2,14.6,37064,36.7,9,19%,70%,0%,1%,10%,0,0,0,0,0,0,0,0,0,0,0,0,15,25,13,4,0,0,18,75,7
36047035400,-73.97205457,40.58067783,354,Kings,5082,41.36166863,93.1,92.5,47.1,47740,68.1,8.5,99%,1%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,6,23,98,8,0,15,22,172,7
36047035500,-73.93258711,40.66427878,355,Kings,4952,43.57835218,80.2,76,14.8,32483,48.9,10.3,13%,79%,0%,0%,9%,0,0,0,0,0,0,0,0,0,0,0,0,5,10,11,2,0,0,9,37,5
36047035601,-73.96960622,40.58108756,356.01,Kings,2503,47.5029964,95.5,94.8,45.4,31795,80.1,11.6,99%,1%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,4,1
36047035602,-73.97061033,40.57746086,356.02,Kings,4580,38.20960699,91.1,90.9,53.1,33558,77.3,3.7,99%,1%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,3,0,0,8,33,5
36047035700,-73.92681924,40.66731324,357,Kings,2544,35.25943396,74.5,69.4,11.8,21384,36,17.8,3%,80%,2%,0%,14%,0,0,0,0,0,0,0,0,0,0,0,0,4,6,14,2,0,0,11,37,5
36047035900,-73.92399604,40.66990704,359,Kings,5068,39.48303078,78.3,73.8,16.8,30685,38.4,18.7,2%,92%,0%,1%,5%,2,0,0,3,0,1,1,0,0,1,0,0,6,30,14,1,0,0,12,63,7
36047036001,-73.96615312,40.576036,360.01,Kings,2928,44.19398907,94.1,93.3,51.8,25030,32.1,8.5,98%,1%,1%,0%,1%,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,10,1
36047036002,-73.96118185,40.57647262,360.02,Kings,3818,37.71608172,87.6,87.3,53.9,16477,53.6,3,84%,0%,0%,7%,9%,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,1,0,0,1,20,3
36047036100,-73.91950492,40.66921238,361,Kings,2407,48.81595347,81.5,77.9,20.2,23500,29.3,22.8,1%,84%,0%,2%,13%,0,0,0,1,0,0,1,7,0,1,0,0,6,13,9,1,0,0,13,42,6
36047036200,-73.96406919,40.57808422,362,Kings,3178,51.88797986,78.7,76.7,11.9,27930,38.1,16.1,70%,2%,2%,20%,7%,0,0,0,0,0,0,0,0,0,0,0,0,16,14,25,0,0,0,15,70,7
36047036300,-73.91537681,40.67206738,363,Kings,3977,45.56198139,78.1,76.1,15.9,28706,39.4,8.9,3%,86%,1%,0%,10%,2,1,1,1,0,0,0,2,0,2,0,0,9,21,15,6,0,0,5,56,6
36047036400,-73.96312803,40.58028947,364,Kings,2126,49.76481656,88.9,84.6,23.1,37795,46.1,8.2,61%,2%,0%,30%,7%,0,0,0,1,0,0,3,1,1,1,0,0,6,6,4,1,0,0,10,27,4
36047036501,-73.91138933,40.67516833,365.01,Kings,2624,45.46493902,78.3,75.7,16.6,40526,72,12,5%,89%,0%,1%,5%,0,0,0,1,0,1,2,0,0,1,0,0,1,11,6,4,0,0,5,27,4
36047036502,-73.9070246,40.67471473,365.02,Kings,1101,56.22161671,75.6,74.4,9.4,37708,35.5,24.6,5%,72%,0%,0%,23%,0,0,0,0,0,1,0,0,0,2,0,0,1,12,4,2,0,0,1,20,3
36047036600,-73.96338232,40.58287587,366,Kings,4433,48.56756147,78.6,76.4,20.8,33951,35.4,9.5,55%,6%,0%,29%,9%,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,3,0,0,3,23,4
