"","Group.1","long","lat"
"1",36005000200,-73.858746875,40.80954265
"2",36005000400,-73.853158372549,40.8099242352941
"3",36005001600,-73.8581046551724,40.8186361724138
"4",36005001900,-73.9181816470588,40.8038878352941
"5",36005002000,-73.8658238695652,40.8180413913043
"6",36005002300,-73.92649185,40.80917115
"7",36005002500,-73.9212640769231,40.8070583846154
"8",36005002701,-73.91607275,40.80481775
"9",36005002702,-73.9133835714286,40.8065098095238
"10",36005002800,-73.87835528125,40.822371375
"11",36005003100,-73.9059814375,40.8098015625
"12",36005003300,-73.9120419090909,40.8082755454545
"13",36005003500,-73.9090557894737,40.8112042631579
"14",36005003700,-73.91245705,40.81140055
"15",36005003800,-73.8636846666667,40.8202608333333
"16",36005003900,-73.9222516666667,40.8098799444444
"17",36005004001,-73.857932,40.8279022222222
"18",36005004100,-73.9199545714286,40.8115803571429
"19",36005004200,-73.861454902439,40.8244622195122
"20",36005004300,-73.9175986,40.8139562
"21",36005004400,-73.8675123571429,40.8265501428571
"22",36005004600,-73.8694193809524,40.8231638571429
"23",36005004800,-73.8739244166667,40.8268814166667
"24",36005005001,-73.8780562307692,40.8250586153846
"25",36005005002,-73.8784381333333,40.8274800666667
"26",36005005100,-73.9284035423729,40.8128981694915
"27",36005005200,-73.8827179230769,40.825531
"28",36005005300,-73.9217305652174,40.852394173913
"29",36005005400,-73.8801965217391,40.8297191304348
"30",36005005600,-73.8790848,40.8324724
"31",36005005902,-73.9233271428571,40.8240966428571
"32",36005006000,-73.8779044791667,40.8375407916667
"33",36005006100,-73.9228426875,40.82208046875
"34",36005006200,-73.8755599,40.8336211666667
"35",36005006300,-73.9299753636364,40.8239667954545
"36",36005006400,-73.8728401818182,40.8334008181818
"37",36005006500,-73.9214210645161,40.8176438387097
"38",36005006700,-73.9180330357143,40.8198336785714
"39",36005006800,-73.871008,40.8289033
"40",36005006900,-73.9165791538462,40.8218692307692
"41",36005007000,-73.8659851764706,40.8297497647059
"42",36005007100,-73.9125835294118,40.8190208235294
"43",36005007200,-73.86046736,40.8317116
"44",36005007300,-73.9096675714286,40.8148384761905
"45",36005007400,-73.8529157222222,40.8194530555556
"46",36005007500,-73.9085667142857,40.8187728214286
"47",36005007600,-73.867243047619,40.8334821428571
"48",36005007700,-73.9047694375,40.819539
"49",36005007800,-73.8527085384615,40.8296633461538
"50",36005007900,-73.9049918571429,40.8161464285714
"51",36005008300,-73.9020030909091,40.8140154545455
"52",36005008400,-73.8476865,40.8156058181818
"53",36005008500,-73.899499173913,40.8167407391304
"54",36005008600,-73.8499938333333,40.8199213333333
"55",36005008700,-73.8978389130435,40.8197743043478
"56",36005008900,-73.8944322142857,40.818131
"57",36005009000,-73.8406375176471,40.8184856588235
"58",36005009200,-73.8524643103448,40.832294862069
"59",36005009300,-73.8881287843137,40.8105677254902
"60",36005009600,-73.8440331206897,40.834042
"61",36005009800,-73.8496332777778,40.8263552777778
"62",36005011000,-73.8321788648649,40.8182243243243
"63",36005011502,-73.8866783428571,40.820072
"64",36005011700,-73.8803258823529,40.8118522058824
"65",36005011800,-73.8030770178571,40.8127861607143
"66",36005011900,-73.8892941428571,40.8233608571429
"67",36005012101,-73.8886433333333,40.8283284
"68",36005012102,-73.8886637857143,40.8258366428571
"69",36005012300,-73.8875010217391,40.8280185869565
"70",36005012500,-73.8939048888889,40.8287553333333
"71",36005012701,-73.8918442222222,40.8257244444444
"72",36005012901,-73.8981377307692,40.8226419615385
"73",36005013000,-73.8145132,40.8194396
"74",36005013100,-73.8980355789474,40.8260052631579
"75",36005013200,-73.8200532105263,40.8148277368421
"76",36005013300,-73.9034621666667,40.8229208888889
"77",36005013500,-73.90196116,40.82731868
"78",36005013800,-73.8071521071429,40.8204599464286
"79",36005014100,-73.9129228888889,40.8239737037037
"80",36005014300,-73.91226965,40.8276753
"81",36005014400,-73.82326925,40.8206957142857
"82",36005014500,-73.9071644736842,40.8315425789474
"83",36005014701,-73.9060650666667,40.8343358666667
"84",36005014702,-73.9041522631579,40.8364918421053
"85",36005014900,-73.9016772352941,40.8325022941176
"86",36005015100,-73.8985985925926,40.8309316666667
"87",36005015200,-73.8253573928571,40.8264333571429
"88",36005015300,-73.8944049,40.83302865
"89",36005015500,-73.8901002352941,40.8354967647059
"90",36005015700,-73.8853578387097,40.8331990967742
"91",36005015800,-73.8190169473684,40.8247196842105
"92",36005015900,-73.8937023333333,40.8225317333333
"93",36005016000,-73.8138523235294,40.8320536764706
"94",36005016100,-73.88461815625,40.836958625
"95",36005016200,-73.8221122352941,40.8287867058824
"96",36005016400,-73.8252401176471,40.8322435294118
"97",36005016500,-73.9003358181818,40.8432813030303
"98",36005016600,-73.83167535,40.829226525
"99",36005016700,-73.9029129642857,40.8408848571429
"100",36005016900,-73.903052,40.8378881428571
"101",36005017300,-73.9174653225806,40.8251939032258
"102",36005017500,-73.9137713125,40.8308823125
"103",36005017701,-73.9115182,40.8332849333333
"104",36005017702,-73.90890335,40.83669485
"105",36005017901,-73.9153893333333,40.8347176666667
"106",36005017902,-73.9139310833333,40.8371650833333
"107",36005018101,-73.9162783636364,40.8315003636364
"108",36005018102,-73.9183488461538,40.8321936923077
"109",36005018301,-73.920762,40.8286788461538
"110",36005018302,-73.9188322352941,40.8279170588235
"111",36005018400,-73.8297148039216,40.8364147647059
"112",36005018500,-73.9070655517241,40.8268109310345
"113",36005018900,-73.9308165675676,40.8311641351351
"114",36005019300,-73.9289641764706,40.8359956764706
"115",36005019400,-73.8359046835443,40.8327936202532
